regression_id,outcome_id,characteristic_id,outcome,predictor,comparison,model,odds_ratio,lower_ci,upper_ci,p_value
1,1,2,Diabetes,Age group,35 to 49 vs 18 to 34,Unadjusted,3.5231279861113416,2.362289438882595,5.254407272121684,6.649987647957293e-10
2,1,2,Diabetes,Age group,50 to 64 vs 18 to 34,Unadjusted,10.921211442458093,7.50634745257549,15.8896001183577,8.574164992979419e-36
3,1,2,Diabetes,Age group,65 and older vs 18 to 34,Unadjusted,21.177642611040778,14.660033453432526,30.592873337267797,2.2004538066545787e-59
4,1,3,Diabetes,Sex,Female vs Male,Unadjusted,0.7513684338765617,0.6815281911981059,0.82836562113982,9.341276077615531e-9
5,1,4,Diabetes,Education,"Secondary school, no post-secondary vs Post-secondary",Unadjusted,1.686671030771833,1.510131728686957,1.8838483504472088,1.9677342045150012e-20
6,1,4,Diabetes,Education,Less than secondary school vs Post-secondary,Unadjusted,2.762480362845915,2.3984742602204516,3.181730103039705,4.7847758444701335e-45
7,1,5,Diabetes,BMI group,Overweight / Obese vs Underweight / Normal weight,Unadjusted,2.42966179985867,2.134229638273022,2.765989355517185,5.223597788637621e-41
8,1,6,Diabetes,Smoking status,Experimental smoker vs Lifetime abstainer,Unadjusted,0.7932669273388604,0.6782891392872427,0.9277347690851818,0.00374611106969303
9,1,6,Diabetes,Smoking status,Former occasional smoker vs Lifetime abstainer,Unadjusted,1.1577732308457125,0.884515447739489,1.5154499081826218,0.2861674172874696
10,1,6,Diabetes,Smoking status,Former daily smoker vs Lifetime abstainer,Unadjusted,1.8685547774238491,1.674157866455722,2.0855243261050225,7.304233635552275e-29
11,1,6,Diabetes,Smoking status,Current occasional smoker vs Lifetime abstainer,Unadjusted,0.4894927091368573,0.2494504976172826,0.9605236894165232,0.03779599065633628
12,1,6,Diabetes,Smoking status,Current daily smoker vs Lifetime abstainer,Unadjusted,1.1797860501524813,0.9887846472763592,1.4076827830695142,0.0665356130054152
13,1,7,Diabetes,Income quintile,Quintile 4 vs Quintile 5 (highest),Unadjusted,1.0885085846318492,0.9208424542669666,1.2867032067504185,0.3203622954415779
14,1,7,Diabetes,Income quintile,Quintile 3 vs Quintile 5 (highest),Unadjusted,1.40182064737376,1.1864696113319697,1.6562591309838106,7.21779562393065e-5
15,1,7,Diabetes,Income quintile,Quintile 2 vs Quintile 5 (highest),Unadjusted,1.8997156756025888,1.626418841097714,2.2189362032319067,5.712610246542217e-16
16,1,7,Diabetes,Income quintile,Quintile 1 (lowest) vs Quintile 5 (highest),Unadjusted,1.9897000705821648,1.704424848564482,2.3227227496765153,3.0233555456025534e-18
17,1,2,Diabetes,Age group,35 to 49 vs 18 to 34,Adjusted,2.9188275234749597,1.8994485921356732,4.485277541634269,1.0271529814545116e-6
18,1,2,Diabetes,Age group,50 to 64 vs 18 to 34,Adjusted,9.451059234809366,6.33777557843455,14.093670492816402,3.391714885181941e-28
19,1,2,Diabetes,Age group,65 and older vs 18 to 34,Adjusted,17.64843382751559,11.90957623056433,26.152669963592636,2.4593720877941956e-46
20,1,3,Diabetes,Sex,Female vs Male,Adjusted,0.6782491964398468,0.6072241496782987,0.7575818134292138,6.086514467264814e-12
21,1,4,Diabetes,Education,"Secondary school, no post-secondary vs Post-secondary",Adjusted,1.0250748098550837,0.9036587505778192,1.162804393945773,0.700215602085728
22,1,4,Diabetes,Education,Less than secondary school vs Post-secondary,Adjusted,1.0728064241659774,0.9127769300574908,1.260892542123409,0.39383545872507875
23,1,5,Diabetes,BMI group,Overweight / Obese vs Underweight / Normal weight,Adjusted,2.0887583746776337,1.82029113564155,2.3968207405725077,9.766364199744356e-26
24,1,6,Diabetes,Smoking status,Experimental smoker vs Lifetime abstainer,Adjusted,0.7281037962871277,0.6163002067833653,0.8601897781839851,1.9120099614917255e-4
25,1,6,Diabetes,Smoking status,Former occasional smoker vs Lifetime abstainer,Adjusted,0.7594650630558458,0.5721076607647222,1.0081794416656522,0.05696266694607454
26,1,6,Diabetes,Smoking status,Former daily smoker vs Lifetime abstainer,Adjusted,0.9920460458628334,0.8812628012845793,1.116755814131178,0.8948413130816667
27,1,6,Diabetes,Smoking status,Current occasional smoker vs Lifetime abstainer,Adjusted,0.8856499865624181,0.433778272814928,1.8082415553179776,0.7387992581051123
28,1,6,Diabetes,Smoking status,Current daily smoker vs Lifetime abstainer,Adjusted,0.8885884432658802,0.7295527450366309,1.0822924413313462,0.2403970429479008
29,1,7,Diabetes,Income quintile,Quintile 4 vs Quintile 5 (highest),Adjusted,1.2061417989763614,1.0075206663252634,1.4439188076845657,0.04119463511443274
30,1,7,Diabetes,Income quintile,Quintile 3 vs Quintile 5 (highest),Adjusted,1.400098564890998,1.1717798184944286,1.6729047219199509,2.1130540240616577e-4
31,1,7,Diabetes,Income quintile,Quintile 2 vs Quintile 5 (highest),Adjusted,1.8809923397034063,1.5790153327656402,2.240720598846794,1.4994640794195409e-12
32,1,7,Diabetes,Income quintile,Quintile 1 (lowest) vs Quintile 5 (highest),Adjusted,1.8037087634169464,1.5024208841188136,2.165415389000815,2.5439275751703766e-10
33,2,2,High blood pressure,Age group,35 to 49 vs 18 to 34,Unadjusted,4.333660626810938,3.4810410892114327,5.395114262390331,2.8795101233122918e-39
34,2,2,High blood pressure,Age group,50 to 64 vs 18 to 34,Unadjusted,14.405465062419442,11.715320916183453,17.713336676754988,1.8884478543243517e-140
35,2,2,High blood pressure,Age group,65 and older vs 18 to 34,Unadjusted,31.64117820706554,25.87525154521001,38.69195847553465,3.93811070641434e-246
36,2,3,High blood pressure,Sex,Female vs Male,Unadjusted,0.9154805255934548,0.857896969793675,0.9769291910920644,0.00771908117051343
37,2,4,High blood pressure,Education,"Secondary school, no post-secondary vs Post-secondary",Unadjusted,1.8455016680445653,1.7001296193363655,2.0033039646028485,1.9464871755646007e-48
38,2,4,High blood pressure,Education,Less than secondary school vs Post-secondary,Unadjusted,3.040833564243834,2.728499804783055,3.388920442370004,1.1272643443489276e-89
39,2,5,High blood pressure,BMI group,Overweight / Obese vs Underweight / Normal weight,Unadjusted,2.516892798546307,2.3240589382388492,2.7257266393487756,1.4758723821371152e-113
