predictor,comparison,unadjusted_or,unadjusted_lower_ci,unadjusted_upper_ci,unadjusted_p_value,adjusted_or,adjusted_lower_ci,adjusted_upper_ci,adjusted_p_value
Age group,35 to 49 vs 18 to 34,3.5231279861113416,2.362289438882595,5.254407272121684,6.649987647957293e-10,2.9188275234749597,1.8994485921356732,4.485277541634269,1.0271529814545116e-6
Age group,50 to 64 vs 18 to 34,10.921211442458091,7.50634745257549,15.8896001183577,8.57416499297942e-36,9.451059234809366,6.33777557843455,14.093670492816402,3.391714885181941e-28
Age group,65 and older vs 18 to 34,21.177642611040774,14.660033453432526,30.592873337267797,2.200453806654579e-59,17.64843382751559,11.90957623056433,26.152669963592636,2.4593720877941956e-46
Sex,Female vs Male,0.7513684338765617,0.6815281911981059,0.82836562113982,9.34127607761553e-9,0.6782491964398468,0.6072241496782987,0.7575818134292138,6.086514467264814e-12
Education,"Secondary school, no post-secondary vs Post-secondary",1.6866710307718327,1.5101317286869573,1.8838483504472086,1.967734204515001e-20,1.0250748098550835,0.9036587505778191,1.162804393945773,0.700215602085728
Education,Less than secondary school vs Post-secondary,2.762480362845915,2.3984742602204516,3.181730103039705,4.784775844470133e-45,1.0728064241659774,0.9127769300574909,1.260892542123409,0.39383545872507875
BMI group,Overweight / Obese vs Underweight / Normal weight,2.42966179985867,2.134229638273022,2.765989355517185,5.223597788637621e-41,2.0887583746776337,1.8202911356415499,2.3968207405725077,9.766364199744357e-26
Smoking status,Experimental smoker vs Lifetime abstainer,0.7932669273388604,0.6782891392872427,0.9277347690851818,0.0037461110696930333,0.7281037962871277,0.6163002067833653,0.8601897781839851,1.9120099614917258e-4
Smoking status,Former occasional smoker vs Lifetime abstainer,1.1577732308457125,0.884515447739489,1.5154499081826218,0.2861674172874696,0.7594650630558458,0.5721076607647222,1.0081794416656522,0.05696266694607454
Smoking status,Former daily smoker vs Lifetime abstainer,1.8685547774238493,1.674157866455722,2.0855243261050225,7.304233635552276e-29,0.9920460458628334,0.8812628012845793,1.116755814131178,0.8948413130816667
Smoking status,Current occasional smoker vs Lifetime abstainer,0.4894927091368573,0.2494504976172826,0.9605236894165232,0.03779599065633628,0.8856499865624181,0.43377827281492803,1.8082415553179774,0.7387992581051123
Smoking status,Current daily smoker vs Lifetime abstainer,1.1797860501524813,0.9887846472763592,1.4076827830695142,0.0665356130054152,0.8885884432658802,0.7295527450366309,1.0822924413313462,0.2403970429479008
Income quintile,Quintile 4 vs Quintile 5 (highest),1.0885085846318492,0.9208424542669666,1.2867032067504185,0.3203622954415779,1.2061417989763614,1.0075206663252634,1.4439188076845655,0.04119463511443274
Income quintile,Quintile 3 vs Quintile 5 (highest),1.40182064737376,1.1864696113319697,1.6562591309838106,7.21779562393065e-5,1.400098564890998,1.1717798184944286,1.6729047219199507,2.1130540240616577e-4
Income quintile,Quintile 2 vs Quintile 5 (highest),1.8997156756025886,1.626418841097714,2.2189362032319067,5.712610246542217e-16,1.8809923397034065,1.5790153327656402,2.240720598846794,1.4994640794195407e-12
Income quintile,Quintile 1 (lowest) vs Quintile 5 (highest),1.9897000705821648,1.704424848564482,2.3227227496765153,3.0233555456025534e-18,1.8037087634169462,1.5024208841188136,2.1654153890008154,2.543927575170377e-10
