predictor,comparison,unadjusted_or,unadjusted_lower_ci,unadjusted_upper_ci,unadjusted_p_value,adjusted_or,adjusted_lower_ci,adjusted_upper_ci,adjusted_p_value
Age group,35 to 49 vs 18 to 34,4.333660626810938,3.4810410892114327,5.395114262390331,2.8795101233122918e-39,4.347536990505367,3.490461687000536,5.415065277526297,2.978133354044152e-39
Age group,50 to 64 vs 18 to 34,14.405465062419442,11.715320916183451,17.713336676754988,1.888447854324352e-140,14.502569093974381,11.808859567485818,17.810738549605798,1.0931022599184908e-142
Age group,65 and older vs 18 to 34,31.64117820706554,25.875251545210006,38.69195847553465,3.93811070641434e-246,32.103189125122995,26.30237505597839,39.183334197386934,2.215590876034908e-252
Sex,Female vs Male,0.9154805255934547,0.857896969793675,0.9769291910920644,0.007719081170513437,0.8805195904111662,0.8165974432250118,0.949445477120128,9.36444491678458e-4
Education,"Secondary school, no post-secondary vs Post-secondary",1.8455016680445653,1.7001296193363655,2.0033039646028485,1.9464871755646007e-48,1.1640929846340196,1.0590192727401697,1.2795918938923942,0.0016442700043454803
Education,Less than secondary school vs Post-secondary,3.040833564243834,2.728499804783055,3.388920442370004,1.1272643443489276e-89,1.1736065926497898,1.03965809456081,1.32481287984671,0.009628150479356954
BMI group,Overweight / Obese vs Underweight / Normal weight,2.516892798546307,2.3240589382388492,2.7257266393487756,1.4758723821371152e-113,2.413358514797937,2.210059877332535,2.635358155081947,1.9754974595983015e-85
Smoking status,Experimental smoker vs Lifetime abstainer,1.0255915790960635,0.9170237458196601,1.147012922956097,0.6580228621244834,0.9289823334219478,0.816302182334752,1.057216548584678,0.26416245710488856
Smoking status,Former occasional smoker vs Lifetime abstainer,1.3206553497061295,1.1020235456785605,1.58266178571846,0.0025954830693435318,0.8548177713604097,0.7047183984522466,1.036887108153304,0.11132088299636002
Smoking status,Former daily smoker vs Lifetime abstainer,2.047716769217247,1.8999910364836992,2.2069282888269535,2.603708432695361e-78,1.0524909558639157,0.9679723862922285,1.144389269634512,0.23098404953164672
Smoking status,Current occasional smoker vs Lifetime abstainer,0.4649771860693275,0.3084351869822798,0.7009699045049983,2.5590893972408517e-4,0.8117224784693592,0.5083224989142997,1.2962113293425657,0.38237750517911484
Smoking status,Current daily smoker vs Lifetime abstainer,1.4114896776545383,1.257311482748461,1.5845740196137972,5.248483518735675e-9,1.0493831141493086,0.9159829329193415,1.2022111773982906,0.4871291021064321
Income quintile,Quintile 4 vs Quintile 5 (highest),1.050605309927745,0.9481238673363325,1.164163834783865,0.3458243101451627,1.1440511701322447,1.0198974487986565,1.283318319329717,0.021670482940655975
Income quintile,Quintile 3 vs Quintile 5 (highest),1.171270061323445,1.0542550185915178,1.3012729675078485,0.0032427180099192316,1.1521554368691809,1.0220311632725472,1.298847039513624,0.020540002245873993
Income quintile,Quintile 2 vs Quintile 5 (highest),1.3373446673292457,1.2061678637665092,1.4827876060708813,3.428013953133345e-8,1.27967821955536,1.1333269375306632,1.4449284591897118,6.906013372529561e-5
Income quintile,Quintile 1 (lowest) vs Quintile 5 (highest),1.5815713703034664,1.4264441011380857,1.7535688901989728,3.2970638607502062e-18,1.4142941702366933,1.252509281951564,1.5969765883482276,2.2480580779663384e-8
