characteristic,group,diabetes_prevalence_percent,high_blood_pressure_prevalence_percent
Age group,18 to 34,1.039422425332553,2.5055973249609105
Age group,35 to 49,3.56843374712314,10.021349099878304
Age group,50 to 64,10.290558912755623,27.0189835546783
Age group,65 and older,18.196213316794335,44.84815082105674
Sex,Male,8.971151071915823,20.92140308839511
Sex,Female,6.894420563535728,19.497912043517207
Education,Less than secondary school,16.74803673363778,39.35583198498415
Education,"Secondary school, no post-secondary",10.939236711766716,28.25678195619961
Education,Post-secondary education,6.788003120320331,17.588046797683628
BMI group,Underweight / Normal weight,4.256715857667037,11.634393747613533
BMI group,Overweight / Obese,9.749083471985061,24.88991734410793
Smoking status,Lifetime abstainer,6.931758905491114,17.0985488696832
Smoking status,Experimental smoker,5.578678884925158,17.459727657300615
Smoking status,Former occasional smoker,7.938584887536626,21.40756846773036
Smoking status,Former daily smoker,12.216842495239405,29.693552651156146
Smoking status,Current occasional smoker,3.517520410089772,8.750985219754297
Smoking status,Current daily smoker,8.07733006219798,22.54797741840221
Income quintile,Quintile 1 (lowest),10.467886186299264,24.72679474790828
Income quintile,Quintile 2,10.042014961394614,21.73852209329788
Income quintile,Quintile 3,7.610409618469388,19.567206003513206
Income quintile,Quintile 4,6.011711599058142,17.912467398812165
Income quintile,Quintile 5 (highest),5.550018318864382,17.198049249362015
Province / territory,Newfoundland and Labrador,11.880039331736093,28.570909825416823
Province / territory,Prince Edward Island,8.40029790180293,23.196979139723652
Province / territory,Nova Scotia,9.813066645195244,23.45902190977434
Province / territory,New Brunswick,8.878524280572925,24.667659701748285
Province / territory,Quebec,8.337728362555636,19.40477200788871
Province / territory,Ontario,8.0810463298098,20.427757078428577
Province / territory,Manitoba,7.1855089823653255,20.79755247201034
Province / territory,Saskatchewan,6.886828133184846,22.975705474794815
Province / territory,Alberta,7.5590628506851605,18.577160282556555
Province / territory,British Columbia,6.627442907847518,19.2869604385345
Province / territory,Territories,4.279859616268342,16.82447952106674
